Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
150,V29,145.362500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
151,V30,145.375000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
152,V31,145.387500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
153,V32,145.400000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
154,V33,145.412500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
155,V34,145.425000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
156,V35,145.437500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
157,V36,145.450000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
158,V37,145.462500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
159,V38,145.475000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
160,V39,145.487500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
161,V40,145.500000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
162,V41,145.512500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
163,V42,145.525000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
164,V43,145.537500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
165,V44,145.550000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
166,V45,145.562500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
167,V46,145.575000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
168,V47,145.587500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
169,V48,146.400000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
170,V49,146.412500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
171,V50,146.425000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
